ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
-0.0688477,0.489258,1.18604,2.44141,-2.0752,3.84521,-111,313,-659,0.906372,1.63696,-20.9235,0.939453,0.916016,-0.0668945,4.76074,6.04248,-2.62451,-87,-171,343,124.656,-67.3846,124.096,1.13086,0.244141,-0.235352,4.76074,3.479,-5.85938,-310,19,267,-162.235,-80.8813,71.1365,
-0.0629883,0.458008,1.18359,12.5732,-2.0752,-11.6577,-112,314,-659,1.13159,1.604,-20.9729,0.935059,0.978516,-0.0576172,-3.60107,2.80762,8.66699,-86,-172,343,124.074,-67.3517,124.783,1.14941,0.234863,-0.294922,-5.37109,9.46045,4.45557,-309,19,267,-162.746,-80.9692,72.29,
-0.0576172,0.439453,1.11279,10.498,-0.915527,-26.062,-112,315,-659,1.38977,1.59302,-21.2476,0.944824,0.891602,-0.0927734,-20.9961,-2.01416,17.1509,-89,-174,342,123.761,-67.3792,125.041,1.09131,0.0688477,-0.254395,-12.8174,14.7095,16.4795,-309,16,268,-162.532,-81.0956,72.1198,
-0.0678711,0.364258,1.05664,9.64355,2.19727,-36.9263,-113,314,-659,1.62598,1.62598,-21.698,0.93457,0.647461,-0.14209,-31.7993,-6.83594,24.9023,-88,-174,343,123.448,-67.478,125.019,1.04785,-0.0244141,-0.203125,-12.6343,16.7236,22.8882,-309,16,269,-160.719,-81.2109,70.1532,
-0.0673828,0.293457,1.04395,8.54492,3.60107,-42.7856,-113,313,-659,1.77979,1.67542,-22.066,0.940918,0.401855,-0.159668,-26.9775,-9.8877,33.02,-92,-169,341,123.53,-67.6923,124.453,0.995117,-0.0756836,-0.118164,-6.7749,17.7002,30.5176,-311,15,269,-157.659,-81.3043,66.9122,
-0.0737305,0.178711,1.01172,4.69971,3.60107,-44.0674,-113,313,-659,1.97205,1.76331,-22.6593,0.941406,0.302734,-0.173828,-18.3105,-11.7798,36.8652,-90,-173,340,124.167,-68.0383,123.404,0.971191,-0.166992,-0.11084,-4.39453,18.9209,34.9121,-311,15,268,-153.732,-81.3538,62.8198,
-0.0517578,0.144531,0.975586,3.05176,2.44141,-44.2505,-113,312,-658,2.11487,1.84021,-23.2635,0.918457,0.227051,-0.22168,-8.30078,-14.2822,44.6167,-89,-173,340,125.343,-68.4668,121.948,0.941895,-0.0756836,-0.106934,4.27246,18.7988,37.9028,-313,16,265,-150.749,-81.3428,59.7272,
-0.0507812,0.0302734,0.932129,-4.27246,2.68555,-41.1377,-113,310,-659,2.15332,1.91162,-23.8348,0.935059,0.1875,-0.214844,5.79834,-14.4043,45.6543,-88,-173,342,126.953,-68.9282,120.223,0.962891,-0.0717773,-0.169922,-0.244141,17.8833,35.2783,-315,15,263,-146.783,-81.3043,55.816,
-0.0498047,-0.0893555,0.923828,-11.2305,5.5542,-36.0718,-112,309,-660,2.07092,2.005,-24.3457,0.891113,0.1875,-0.251953,1.40381,-14.5264,41.0156,-89,-170,342,128.051,-69.2084,119.103,0.927734,-0.104004,-0.13623,-1.64795,16.4795,34.3018,-315,16,261,-143.026,-81.189,51.9269,
-0.0498047,-0.183594,0.927246,-13.9771,5.43213,-31.9824,-112,307,-660,1.90613,2.11487,-24.7906,0.906738,0.109863,-0.26709,-0.427246,-16.7847,35.5835,-90,-168,342,129.666,-69.5435,117.361,0.928223,-0.106445,-0.119141,-1.83105,14.8315,31.0669,-313,19,261,-139.658,-81.0571,48.4662,
-0.0444336,-0.245117,0.93457,-14.4653,4.3335,-26.1841,-111,306,-660,1.77429,2.17529,-25.0543,0.91748,0.0444336,-0.269043,-3.2959,-15.0757,30.9448,-90,-168,340,131.243,-69.8291,115.631,0.898926,-0.184082,-0.0996094,-3.90625,11.9629,27.0996,-312,21,260,-136.708,-80.8923,45.3461,
-0.0400391,-0.301758,0.939941,-10.8643,2.44141,-20.0195,-111,306,-659,1.58203,2.2467,-25.3839,0.913574,-0.00683594,-0.292969,-7.38525,-13.6719,23.1934,-91,-168,340,132.578,-70.0543,114.06,0.898926,-0.164062,-0.0668945,-3.2959,8.30078,20.874,-313,24,261,-134.363,-80.7385,42.8577,
-0.0249023,-0.345215,0.93457,-7.32422,1.52588,-14.6484,-110,305,-660,1.42822,2.28516,-25.6311,0.936523,-0.0541992,-0.291992,-5.92041,-11.6577,15.9912,-91,-168,340,133.748,-70.2191,112.687,0.905762,-0.19043,-0.0546875,-4.63867,4.27246,14.0381,-312,27,261,-133.193,-80.6506,41.5942,
-0.00634766,-0.374512,0.926758,-3.11279,0.549316,-6.65283,-110,305,-660,1.35681,2.29065,-25.7739,0.939453,-0.0942383,-0.30957,-7.87354,-8.54492,7.44629,-92,-166,342,134.632,-70.3345,111.594,0.899902,-0.211914,-0.0366211,-4.94385,0.183105,6.7749,-312,27,261,-132.023,-80.5408,40.2594,
0.0117188,-0.386719,0.930664,-0.488281,0.427246,3.17383,-109,305,-660,1.27991,2.29614,-25.8014,0.952637,-0.150879,-0.340332,-5.24902,-5.37109,-1.09863,-90,-164,340,135.071,-70.3784,111.022,0.890625,-0.228516,-0.0332031,-4.39453,-2.62451,1.77002,-312,29,260,-131.495,-80.4639,39.5837,
